sample,time,Throttle,SpeedMPH,RPM,CalcLoad,MAFVolts,MAF,STFT,LTFT,IAT,ECT,AFR,TargetAFR,CatTemp
110,24.900,15.2941,0,1758.25,32.9412,1.52832,11,0,0,25,20,1.1522,1.00208,354.2
111,25.050,15.2941,0,1754.75,32.9412,1.52832,10.95,0,0,25,20,1.15805,1.0022,362.2
112,25.200,15.2941,0,1758.5,32.9412,1.52344,11.05,0,0,25,20,1.15552,1.00214,362.2
113,25.350,15.2941,0,1762.75,32.9412,1.51855,10.85,0,0,25,20,1.16028,1.00223,362.2
114,25.500,15.2941,0,1760.5,32.9412,1.51855,10.95,0,0,25,20,1.16458,1.00229,370.1
115,25.650,15.2941,0,1756.25,32.549,1.52344,10.9,0,0,25,20,1.17608,1.00247,370.1
116,25.800,15.2941,0,1750.25,32.9412,1.52344,10.9,0,0,25,20,1.16031,1.00223,370.1
117,25.950,15.2941,0,1745.25,32.9412,1.52344,11,0,0,25,20,1.16861,1.00235,370.1
118,26.100,15.2941,0,1747.75,32.9412,1.51367,10.85,0,0,25,20,1.16611,1.00232,377.7
119,26.250,15.2941,0,1748.75,32.9412,1.51855,10.85,0,0,25,20,1.17837,1.00253,377.7
120,26.400,15.2941,0,1741.5,32.549,1.51367,10.8,0,0,25,20,1.17398,1.00244,377.7
121,26.550,15.2941,0,1738.75,32.9412,1.51855,10.8,0,0,25,20,1.18529,1.00263,385.1
122,26.700,15.2941,0,1731.25,32.9412,1.50879,10.69,0,0,25,20,1.19252,1.00275,385.1
123,26.850,15.2941,0,1730.5,32.9412,1.51855,10.8,0,0,25,20,1.18453,1.00263,385.1
124,27.000,15.2941,0,1730,32.9412,1.51855,10.8,0,0,25,20,1.19313,1.00275,392.4
125,27.150,15.2941,0,1720.25,32.9412,1.51367,10.75,0,0,25,20,1.1988,1.00284,392.4
126,27.300,15.2941,0,1726,33.3333,1.51367,10.8,0,0,25,20,1.19755,1.00281,392.4
127,27.450,15.2941,0,1727.5,32.9412,1.50879,10.59,0,0,25,20,1.19783,1.00281,392.4
128,27.600,15.2941,0,1731,32.9412,1.50879,10.69,0,0,25,20,1.20667,1.00296,399.5
129,27.750,15.2941,0,1729,32.9412,1.50879,10.69,0,0,25,20,1.21442,1.00308,399.5
130,27.900,15.2941,0,1737,32.549,1.51367,10.75,0,0,25,20,1.20911,1.00299,399.5
131,28.050,15.2941,0,1734.25,32.9412,1.52344,10.9,0,0,25,20,1.20673,1.00296,406.6
132,28.200,15.2941,0,1739,32.9412,1.50879,10.64,0,0,25,20,1.20063,1.00287,406.6
133,28.350,15.2941,0,1744.75,32.549,1.51367,10.8,0,0,25,20,1.20673,1.00296,406.6
134,28.500,15.2941,0,1748.5,32.549,1.50879,10.8,0,0,25,20,1.21286,1.00305,406.6
135,28.650,15.2941,0,1748.5,32.549,1.51855,10.85,0,0,25,20,1.21503,1.00308,413.6
136,28.800,15.2941,0,1743,32.1569,1.50391,10.49,0,0,25,20,1.21491,1.00308,413.6
137,28.950,15.2941,0,1738,32.549,1.50879,10.69,0,0,25,20,1.22491,1.00324,413.6
138,29.100,15.2941,0,1726.25,32.549,1.50391,10.49,0,0,25,20,1.22512,1.00324,420
139,29.250,15.2941,0,1735.5,32.1569,1.49414,10.39,0,0,25,21,1.23125,1.00333,420
140,29.400,14.902,0,1727.75,31.3726,1.48438,10.14,0,0,25,21,1.24507,1.00357,420
141,29.550,14.902,0,1718.75,31.3726,1.48438,10.19,0,0,25,21,1.26566,1.00382,426
142,29.700,14.902,0,1711.25,31.3726,1.48438,10.05,0,0,25,21,1.27026,1.00388,426
143,29.850,14.902,0,1703.75,30.9804,1.47949,10,0,0,25,21,1.28597,1.00406,426
144,30.000,14.902,0,1698.25,30.5882,1.46484,9.71,0,0,25,21,1.29552,1.00418,426
145,30.150,14.902,0,1677.5,30.5882,1.4502,9.52,0,0,25,21,1.30534,1.0043,431.5
146,30.300,14.5098,0,1645,29.8039,1.43066,9,0,0,25,21,1.3187,1.00446,431.5
147,30.450,14.5098,0,1604,30.1961,1.43066,9.14,0,0,25,21,1.33852,1.00467,431.5
148,30.600,14.5098,0,1572.5,30.5882,1.42578,8.95,0,0,25,21,1.36634,1.00497,436.2
149,30.750,14.5098,0,1548.25,31.3726,1.42578,9.04,0,0,25,21,1.38592,1.00522,436.2
150,30.900,14.5098,0,1540.25,31.7647,1.43066,9.04,0,0,25,21,1.38592,1.0054,436.2
151,31.050,14.902,0,1541.75,32.549,1.44043,9.38,0,0,25,21,1.38592,1.00543,436.2
152,31.200,14.902,0,1552,33.3333,1.46484,9.71,0,0,25,21,1.38592,1.00558,441
153,31.350,14.902,0,1583.25,34.1176,1.48438,10.19,0,0,25,21,1.38592,1.00574,441
154,31.500,15.2941,0,1628.75,33.7255,1.47949,10.09,0,0,25,21,1.38592,1.00568,441
155,31.650,15.2941,0,1677.75,32.9412,1.48438,10.24,0,0,25,21,1.38592,1.00549,446.1
156,31.800,15.2941,0,1721,32.1569,1.49414,10.29,0,0,25,21,1.38592,1.00528,446.1
157,31.950,15.2941,0,1754,31.3726,1.49414,10.44,0,0,25,21,1.37726,1.0051,446.1
158,32.100,14.902,0,1770.25,30.9804,1.49414,10.29,0,0,25,21,1.36439,1.00497,446.1
159,32.250,14.902,0,1764,30.1961,1.47949,10.09,0,0,25,21,1.35383,1.00485,451.2
